iter	Passed	Remaining
0	155	155750
1	164	82158
2	172	57422
3	182	45552
4	192	38290
5	201	33374
6	209	29748
7	218	27135
8	228	25121
9	236	23417
10	245	22102
11	253	20897
12	263	19992
13	273	19290
14	285	18743
15	296	18258
16	307	17768
17	318	17389
18	333	17195
19	344	16899
20	357	16673
21	370	16491
22	382	16265
23	395	16073
24	405	15812
25	419	15705
26	430	15514
27	440	15296
28	451	15129
29	463	14978
30	475	14848
31	486	14723
32	497	14591
33	511	14520
34	522	14416
35	533	14294
36	543	14143
37	554	14038
38	566	13952
39	581	13962
40	592	13864
41	602	13750
42	611	13608
43	620	13490
44	629	13368
45	639	13254
46	647	13120
47	655	13008
48	663	12867
49	672	12774
50	682	12691
51	690	12585
52	700	12519
53	707	12387
54	716	12319
55	722	12181
56	731	12102
57	739	12013
58	751	11989
59	766	12007
60	775	11942
61	784	11875
62	793	11799
63	802	11731
64	811	11674
65	822	11636
66	835	11630
67	845	11587
68	851	11489
69	861	11439
70	869	11377
71	877	11305
72	882	11210
73	890	11139
74	896	11056
75	905	11010
76	913	10950
77	924	10930
78	935	10910
79	946	10885
80	960	10902
81	971	10877
82	979	10820
83	990	10806
84	1001	10783
85	1010	10738
86	1019	10699
87	1029	10674
88	1040	10655
89	1052	10639
90	1064	10629
91	1072	10588
92	1082	10561
93	1089	10497
94	1097	10453
95	1103	10389
96	1110	10336
97	1117	10283
98	1123	10227
99	1134	10210
100	1143	10181
101	1154	10161
102	1162	10123
103	1170	10081
104	1177	10036
105	1184	9989
106	1190	9935
107	1197	9889
108	1205	9856
109	1213	9815
110	1218	9761
111	1226	9721
112	1232	9670
113	1238	9625
114	1245	9585
115	1251	9533
116	1258	9498
117	1264	9452
118	1271	9415
119	1277	9371
120	1283	9326
121	1296	9327
122	1303	9295
123	1310	9261
124	1321	9248
125	1328	9211
126	1342	9229
127	1354	9230
128	1364	9210
129	1373	9190
130	1384	9184
131	1392	9157
132	1401	9134
133	1408	9099
134	1414	9060
135	1422	9037
136	1428	9000
137	1436	8970
138	1442	8933
139	1449	8905
140	1456	8871
141	1462	8838
142	1469	8809
143	1477	8782
144	1486	8766
145	1494	8744
146	1502	8721
147	1511	8699
148	1519	8676
149	1527	8653
150	1537	8642
151	1556	8683
152	1567	8676
153	1576	8662
154	1592	8681
155	1601	8666
156	1610	8648
157	1618	8625
158	1627	8606
159	1634	8581
160	1641	8556
161	1647	8524
162	1653	8492
163	1660	8466
164	1666	8434
165	1674	8410
166	1680	8379
167	1687	8355
168	1693	8326
169	1699	8296
170	1706	8271
171	1712	8245
172	1720	8223
173	1726	8197
174	1735	8181
175	1743	8163
176	1752	8150
177	1760	8128
178	1767	8104
179	1774	8083
180	1781	8060
181	1789	8044
182	1797	8022
183	1804	8000
184	1810	7974
185	1817	7952
186	1823	7925
187	1830	7908
188	1838	7887
189	1843	7860
190	1850	7839
191	1856	7813
192	1863	7793
193	1869	7769
194	1876	7746
195	1883	7727
196	1889	7701
197	1896	7682
198	1902	7657
199	1911	7645
200	1918	7627
201	1927	7613
202	1933	7591
203	1940	7570
204	1947	7551
205	1953	7529
206	1961	7514
207	1968	7493
208	1976	7479
209	1983	7463
210	1991	7447
211	1998	7429
212	2006	7412
213	2014	7397
214	2022	7383
215	2030	7368
216	2037	7352
217	2046	7341
218	2055	7331
219	2064	7318
220	2079	7328
221	2089	7321
222	2099	7314
223	2110	7310
224	2122	7309
225	2131	7298
226	2140	7288
227	2149	7278
228	2158	7266
229	2169	7262
230	2178	7253
231	2187	7242
232	2195	7228
233	2204	7217
234	2212	7201
235	2221	7191
236	2230	7181
237	2239	7169
238	2247	7156
239	2256	7145
240	2267	7142
241	2278	7135
242	2289	7131
243	2299	7126
244	2311	7124
245	2321	7114
246	2332	7111
247	2340	7097
248	2349	7086
249	2357	7072
250	2366	7060
251	2372	7042
252	2380	7028
253	2387	7011
254	2394	6996
255	2400	6976
256	2407	6960
257	2414	6943
258	2420	6925
259	2427	6909
260	2433	6890
261	2441	6875
262	2447	6857
263	2454	6841
264	2460	6823
265	2468	6811
266	2476	6798
267	2483	6783
268	2491	6769
269	2497	6752
270	2505	6738
271	2511	6722
272	2518	6705
273	2524	6689
274	2530	6672
275	2538	6659
276	2544	6642
277	2552	6628
278	2558	6612
279	2564	6595
280	2574	6586
281	2580	6571
282	2588	6559
283	2594	6541
284	2603	6531
285	2609	6514
286	2617	6503
287	2624	6487
288	2631	6475
289	2638	6460
290	2646	6447
291	2653	6433
292	2661	6421
293	2669	6410
294	2676	6396
295	2683	6383
296	2692	6372
297	2700	6362
298	2708	6350
299	2717	6341
300	2727	6333
301	2735	6322
302	2746	6316
303	2753	6303
304	2762	6294
305	2769	6281
306	2777	6270
307	2784	6256
308	2794	6248
309	2802	6237
310	2810	6227
311	2818	6215
312	2831	6215
313	2842	6208
314	2848	6195
315	2856	6182
316	2861	6165
317	2868	6151
318	2874	6137
319	2880	6120
320	2889	6111
321	2895	6095
322	2902	6083
323	2908	6067
324	2914	6052
325	2921	6039
326	2926	6023
327	2933	6010
328	2939	5995
329	2946	5981
330	2953	5968
331	2959	5954
332	2966	5941
333	2972	5927
334	2979	5914
335	2986	5902
336	2992	5887
337	2999	5875
338	3007	5863
339	3014	5852
340	3022	5841
341	3030	5829
342	3036	5816
343	3042	5802
344	3050	5790
345	3056	5776
346	3063	5764
347	3069	5750
348	3077	5741
349	3084	5727
350	3090	5715
351	3097	5702
352	3103	5688
353	3110	5676
354	3116	5663
355	3122	5649
356	3129	5636
357	3135	5622
358	3142	5610
359	3148	5597
360	3154	5583
361	3161	5571
362	3166	5556
363	3173	5545
